name,ingredients,instructions
Cough,"Honey, Lemon, Warm Water, Ginger, Cinnamon, Turmeric, Apple Cider Vinegar, Clove","Mix 1 tbsp honey, 1 tbsp lemon juice, and a pinch of turmeric in a cup of warm water. Add ½ tsp grated ginger, a dash of cinnamon, 1 tsp apple cider vinegar, and a crushed clove. Stir well and sip slowly. Drink 2-3 times daily to soothe throat irritation, reduce inflammation, and suppress coughing."
Cold,"Ginger, Honey, Lemon, Garlic, Cinnamon, Turmeric, Cayenne Pepper, Peppermint Leaves","Boil 1-inch grated ginger, 2 crushed garlic cloves, and ½ tsp turmeric in 2 cups of water for 10 minutes. Strain, then add 1 tbsp honey, 1 tbsp lemon juice, a pinch of cinnamon, and a dash of cayenne. Stir in fresh peppermint leaves. Drink warm twice daily to relieve congestion, boost immunity, and ease cold symptoms."
Sore Throat,"Salt, Warm Water, Honey, Lemon, Turmeric, Apple Cider Vinegar, Sage, Chamomile","Dissolve ½ tsp salt in 1 cup warm water. Add 1 tsp honey, 1 tbsp lemon juice, ¼ tsp turmeric, and 1 tsp apple cider vinegar. Gargle for 30 seconds, then spit. Repeat 3-4 times daily. For extra relief, sip sage or chamomile tea. This reduces swelling, kills bacteria, and soothes throat pain."
Headache,"Peppermint Oil, Carrier Oil, Lavender Oil, Ginger, Chamomile, Rosemary, Ice Pack, Hydration","Mix 2 drops peppermint oil with 1 tbsp carrier oil (coconut or almond). Massage onto temples and neck. Add 1 drop lavender oil for tension relief. Drink ginger tea, apply a cold compress, or inhale rosemary steam. Stay hydrated. Rest in a dark room. This eases migraines, improves circulation, and relaxes muscles."
Nausea,"Ginger, Water, Peppermint, Lemon, Fennel Seeds, Chamomile, Apple Cider Vinegar, Honey","Boil 1-inch grated ginger in 2 cups water for 5 minutes. Strain and add 1 tsp honey, 1 tbsp lemon juice, and 1 tsp apple cider vinegar. Sip slowly. Chew fennel seeds or drink peppermint/chamomile tea. This calms the stomach, reduces acid reflux, and prevents vomiting."
Indigestion,"Apple Cider Vinegar, Water, Ginger, Peppermint, Fennel, Baking Soda, Lemon, Chamomile","Mix 1 tbsp apple cider vinegar in 1 cup warm water. Add ½ tsp grated ginger, 1 tsp lemon juice, and a pinch of baking soda. Drink before meals. Chew fennel seeds or sip peppermint/chamomile tea. This aids digestion, reduces bloating, and balances stomach acid."
Acid Reflux,"Baking Soda, Water, Aloe Vera Juice, Ginger, Chamomile, Slippery Elm, Almonds, Licorice Root","Mix ½ tsp baking soda in 1 cup water. Sip slowly. Drink ¼ cup aloe vera juice or ginger tea. Chew 3-4 almonds. Try chamomile tea or slippery elm powder. Licorice root (DGL) helps heal the esophagus. Avoid triggers. Use sparingly to neutralize stomach acid without overuse."
Allergies,"Local Honey, Lemon, Turmeric, Quercetin, Nettle Tea, Apple Cider Vinegar, Vitamin C, Omega-3","Take 1 tsp local honey daily. Mix with lemon, turmeric, and 1 tsp apple cider vinegar in warm water. Drink nettle tea or take quercetin supplements. Boost vitamin C (citrus) and omega-3 (flaxseeds). This builds pollen immunity and reduces histamine reactions over time."
Fever,"Lemon, Honey, Warm Water, Ginger, Garlic, Basil, Coconut Water, Hydration","Mix 1 tbsp honey and 1 tbsp lemon juice in warm water. Add ½ tsp grated ginger, 1 crushed garlic clove, and 5 basil leaves. Sip every 2 hours. Drink coconut water for electrolytes. Stay hydrated. This lowers body temperature, fights infection, and restores energy."
Fatigue,"Banana, Honey, Almonds, Chia Seeds, Matcha, Dark Chocolate, Oats, Hydration","Blend 1 banana with 1 tsp honey, 1 tbsp chia seeds, and 1 cup almond milk. Add ½ tsp matcha powder or dark chocolate. Eat oats for slow energy. Stay hydrated. This combats exhaustion with natural sugars, protein, and antioxidants for sustained vitality."
